year,geo_id,geolocation,level,location,historical,hist_country,disastertype,disasterno,latitude,longitude,temperature,,,YearT,TempT
1997,30027,Kerala,1, Kerala,0,NA,flood,1997-0260,10.45089774,76.4057486,0.49,,,,
1997,30028,Jammu And Kashmir,1, Jammu and Kashmir,0,NA,flood,1997-0260,33.75942968,76.61263777,0.49,,,,
1997,30029,Assam,1, Assam,0,NA,flood,1997-0260,26.35676035,92.82876881,0.49,,,,
1997,30030,Arunachal Pradesh,1, Arunachal Pradesh,0,NA,flood,1997-0260,28.03900639,94.67669495,0.49,,,,
1997,30031,Karnataka,1, Karnataka,0,NA,flood,1997-0260,14.7051803,76.16643556,0.49,,,,
1997,30032,Himachal Pradesh,1, Himachal Pradesh,0,NA,flood,1997-0260,31.92721256,77.23308096,0.49,,,,
1997,30033,Sikkim,1, Sikkim,0,NA,flood,1997-0260,27.57153573,88.4728724,0.49,,,,
1997,30034,Punjab,1, Punjab,0,NA,flood,1997-0260,30.84146482,75.40878951,0.49,,,,
1997,30035,Rajasthan,1, Rajasthan,0,NA,flood,1997-0260,26.58342294,73.84797344,0.49,,,,
1997,30036,Uttar Pradesh,1, Uttar Pradesh,0,NA,flood,1997-0260,26.92542523,80.56098215,0.49,,,,
1997,30037,Andhra Pradesh,1,Andhra Pradesh,0,NA,flood,1997-0260,15.71260766,79.92713851,0.49,,,,
1997,30038,Odisha,1, Orissa,0,NA,flood,1997-0260,20.50542802,84.41805896,0.49,,,,
1997,30039,Bihar,1, Bihar,0,NA,flood,1997-0260,25.67965826,85.6048398,0.49,,,,
1997,30040,West Bengal,1, West Bengal states,0,NA,flood,1997-0260,23.81595215,87.98089998,0.49,,,,
1997,30041,Madhya Pradesh,1, Madyha Pradesh,0,NA,flood,1997-0260,23.54151345,78.28963287,0.49,,,,
1997,30042,Maharashtra,1, Maharashtra,0,NA,flood,1997-0260,19.44975928,76.10822143,0.49,,,,
1998,7680,Amreli,2,Amreli,0,NA,storm,1998-0183,21.42212608,71.26448769,0.63,,,,
1998,7843,Banas Kantha,2,Banaskhanta,0,NA,storm,1998-0183,24.28099748,72.03809257,0.63,,,,
1998,7862,Barmer,2,Barmer,0,NA,storm,1998-0183,25.73003991,71.47894365,0.63,,,,
1998,7882,Bharuch,2,Bharuch,0,NA,storm,1998-0183,21.78666651,72.92475605,0.63,,,,
1998,8201,Jalor,2,Jallore,0,NA,storm,1998-0183,25.0946658,72.21544589,0.63,,,,
1998,8228,Jamnagar,2,Jamnagar,0,NA,storm,1998-0183,22.33618485,70.23238871,0.63,,,,
1998,8244,Junagadh,2,Junagadh,0,NA,storm,1998-0183,21.25423825,70.57263302,0.63,,,,
1998,8540,Navsari,2,Nasvari,0,NA,storm,1998-0183,20.81218482,73.10551991,0.63,,,,
1998,8626,Porbandar,2,Porbandar,0,NA,storm,1998-0183,21.63737945,69.80371801,0.63,,,,
1998,8690,Rajkot,2,Rajkot,0,NA,storm,1998-0183,22.0149433,70.76149605,0.63,,,,
1998,8767,Surat,2,Surat,0,NA,storm,1998-0183,21.26454257,73.0734589,0.63,,,,
1998,8936,Valsad,2,Valsad,0,NA,storm,1998-0183,20.41743299,73.12143584,0.63,,,,
1998,8247,Kachchh,2,Kutch,0,NA,storm,1998-0183,23.62539958,69.96716133,0.63,,,,
1998,7886,Bhavnagar,2,Bhavnagar,0,NA,storm,1998-0183,21.59814824,71.92323212,0.63,,,,
1998,8701,Ratnagiri,2,Ratnagiri district,0,NA,storm,1998-0183,17.27230627,73.46032191,0.63,,,,
1998,8172,Hyderabad,2,Hyderabad,0,NA,flood,1998-0450,17.38481134,78.46612255,0.63,,,,
1998,7942,Bombay,3,Bombay,0,NA,storm,1998-0313,18.98271372,72.83764134,0.63,,,,
1998,8096,Gujarat,1,Gujarat,0,NA,flood,1998-0449,22.6903222,71.5884337,0.63,,,,
1998,8453,Maharashtra,1,Maharashtra,0,NA,flood,1998-0449,19.44975928,76.10822143,0.63,,,,
1998,7722,Andhra Pradesh,1,Andhra Pradesh,0,NA,flood,1998-0450,15.71260766,79.92713851,0.63,,,,
1998,8876,Uttar Pradesh,1,Uttar Pradesh,0,NA,storm,1998-0379,26.92542523,80.56098215,0.63,,,,
1998,7831,Baleshwar,2,Balasore district,0,NA,storm,1998-0106,21.4888982,86.90431345,0.63,,,,
1998,8616,Pashchim Medinipur,2,Midnapore,0,NA,storm,1998-0106,22.4104231,87.26240707,0.63,,,,
1998,8617,Pashchim Medinipur,2,Midnapur,0,NA,storm,1998-0379,22.4104231,87.26240707,0.63,,,,
1998,30043,West Bengal,1, West Bengal states,0,NA,flood,1998-0392,23.81595215,87.98089998,0.63,,,,
1998,30044,Kerala,1, Kerala,0,NA,flood,1998-0392,10.45089774,76.4057486,0.63,,,,
1998,30045,Meghalaya,1, Meghalaya,0,NA,flood,1998-0392,25.53572746,91.2783037,0.63,,,,
1998,30046,Punjab,1, Punjab,0,NA,flood,1998-0392,30.84146482,75.40878951,0.63,,,,
1998,30047,Uttar Pradesh,1, Uttar Pradesh,0,NA,flood,1998-0392,26.92542523,80.56098215,0.63,,,,
1998,30048,Arunachal Pradesh,1, Arunachal,0,NA,flood,1998-0392,28.03900639,94.67669495,0.63,,,,
1998,30049,Assam,1,Assam,0,NA,flood,1998-0392,26.35676035,92.82876881,0.63,,,,
1998,30050,Bihar,1, Bihar,0,NA,flood,1998-0392,25.67965826,85.6048398,0.63,,,,
1998,30051,Sikkim,1, Sikkim,0,NA,flood,1998-0392,27.57153573,88.4728724,0.63,,,,
1999,8049,Gajapati,2,Gajapathi,0,NA,storm,1999-0401,19.16537012,84.1542009,0.41,,,,
1999,8057,Ganjam,2,Ganjam,0,NA,storm,1999-0401,19.62190014,84.65996467,0.41,,,,
1999,8348,Khordha,2,Khurda,0,NA,storm,1999-0401,20.08247851,85.50483769,0.41,,,,
1999,7874,Bhadrak,2,Bhadrak,0,NA,storm,1999-0425,20.97856004,86.61667215,0.41,,,,
1999,7984,Cuttack,2,Cuttack,0,NA,storm,1999-0425,20.44239318,85.6982686,0.41,,,,
1999,8026,Dhenkanal,2,Dhenkanal,0,NA,storm,1999-0425,20.82055836,85.51878477,0.41,,,,
1999,8183,Jagatsinghapur,2,Jagatsinghpur,0,NA,storm,1999-0425,20.21756098,86.32964206,0.41,,,,
1999,8193,Jajapur,2,Jajapur,0,NA,storm,1999-0425,20.8497324,86.14624701,0.41,,,,
1999,8305,Kendrapara,2,Kendrapara,0,NA,storm,1999-0425,20.54637395,86.60225642,0.41,,,,
1999,8311,Kendujhar,2,Keonjhar,0,NA,storm,1999-0425,21.53191209,85.6991815,0.41,,,,
1999,8349,Khordha,2,Khurda,0,NA,storm,1999-0425,20.08247851,85.50483769,0.41,,,,
1999,8485,Mayurbhanj,2,Mayurbhang,0,NA,storm,1999-0425,21.890497,86.40634462,0.41,,,,
1999,8545,Nayagarh,2,Nayagarh,0,NA,storm,1999-0425,20.20652947,84.99328054,0.41,,,,
1999,7832,Baleshwar,2,Balasore,0,NA,storm,1999-0425,21.4888982,86.90431345,0.41,,,,
1999,8660,Puri,2,Puri,0,NA,storm,1999-0401,19.86576549,85.69842138,0.41,,,,
1999,8661,Puri,2,Puri,0,NA,storm,1999-0425,19.86576549,85.69842138,0.41,,,,
1999,8931,Vadodara,2,Gujarat Coast,0,NA,storm,1999-0177,22.24629292,73.24968977,0.41,,,,
1999,7762,Arunachal Pradesh,1,Arunachal Pradesh,0,NA,flood,1999-0213,28.03850114,94.67559092,0.41,,,,
1999,7785,Assam,1,Assam,0,NA,flood,1999-0213,26.35712666,92.82850571,0.41,,,,
1999,7903,Bihar,1,Bihar,0,NA,flood,1999-0213,25.67955598,85.60447908,0.41,,,,
1999,8649,Punjab,1,Punjab,0,NA,flood,1999-0213,30.8418287,75.40846841,0.41,,,,
1999,8845,Tripura,1,Tripura,0,NA,flood,1999-0213,23.74764472,91.74347749,0.41,,,,
1999,8097,Gujarat,1,Gujarat,0,NA,flood,1999-0213,22.6903222,71.5884337,0.41,,,,
1999,8286,Karnataka,1,Karnataka,0,NA,flood,1999-0213,14.7051803,76.16643556,0.41,,,,
1999,8324,Kerala,1,Kerala,0,NA,flood,1999-0213,10.45089774,76.4057486,0.41,,,,
1999,8974,West Bengal,1,West Bengal,0,NA,flood,1999-0213,23.81595215,87.98089998,0.41,,,,
1999,7723,Andhra Pradesh,1,Andhra Pradesh,0,NA,storm,1999-0425,15.71260766,79.92713851,0.41,,,,
1999,8975,West Bengal,1,West Bengal,0,NA,storm,1999-0425,23.81595215,87.98089998,0.41,,,,
1999,30052,Uttar Pradesh,1,Uttar Pradesh,0,NA,flood,1999-0371,26.92542523,80.56098215,0.41,,,,
1999,30053,Bihar,1, Bihar,0,NA,flood,1999-0371,25.67965826,85.6048398,0.41,,,,
1999,30054,West Bengal,1, West Bengal,0,NA,flood,1999-0371,23.81595215,87.98089998,0.41,,,,
1999,30055,Delhi,3, Delhi,0,NA,flood,1999-0371,28.64651897,77.10897953,0.41,,,,
1999,30056,Madhya Pradesh,1, Madhya Prasdeh,0,NA,flood,1999-0371,23.54151345,78.28963287,0.41,,,,
2000,7982,Cuddapah,3,Cuddapah,0,NA,flood,2000-0534,14.4705228,78.73399035,0.41,,,,
2000,8038,East Godavari,2,East Gavari,0,NA,flood,2000-0534,17.18512821,82.00214406,0.41,,,,
2000,8123,Guntur,2,Guntur,0,NA,flood,2000-0534,16.29023485,80.08194333,0.41,,,,
2000,8275,Karimnagar,2,Karimnagar,0,NA,flood,2000-0534,18.54511489,79.23560559,0.41,,,,
2000,8341,Khammam,2,Khammam,0,NA,flood,2000-0534,17.59082823,80.67917545,0.41,,,,
2000,8379,Krishna,2,Krishna,0,NA,flood,2000-0534,16.55006848,80.79256277,0.41,,,,
2000,8393,Kurnool,2,Kurnool,0,NA,flood,2000-0534,15.52775939,77.99973082,0.41,,,,
2000,8470,Mahbubnagar,2,Mahboobnagar,0,NA,flood,2000-0534,16.49340442,78.14042905,0.41,,,,
2000,8488,Medak,2,Medak,0,NA,flood,2000-0534,17.88492363,78.21139647,0.41,,,,
2000,8530,Nalgonda,2,Nalgonda,0,NA,flood,2000-0534,17.06194463,79.28166651,0.41,,,,
2000,8550,Nellore,2,Nellore,0,NA,flood,2000-0534,14.43556427,79.72017697,0.41,,,,
2000,8556,Nizamabad,2,Nizamabad,0,NA,flood,2000-0534,18.52357578,78.13906639,0.41,,,,
2000,8700,Ranga Reddy,2,Rangareddy,0,NA,flood,2000-0534,17.28449614,78.17276898,0.41,,,,
2000,8945,Visakhapatnam,2,Visakhapatam,0,NA,flood,2000-0534,17.88493739,82.68205636,0.41,,,,
2000,8951,Warangal,2,Warangal,0,NA,flood,2000-0534,17.94921107,79.7917581,0.41,,,,
2000,9007,West Godavari,2,Wes Govari,0,NA,flood,2000-0534,16.88638554,81.39289921,0.41,,,,
2000,7848,Banka,2,Banka,0,NA,flood,2000-0610,24.85181222,86.83365055,0.41,,,,
2000,7856,Barddhaman,2,Burdwan,0,NA,flood,2000-0610,23.42610967,87.76168736,0.41,,,,
2000,7878,Bhagalpur,2,Bhalagpur,0,NA,flood,2000-0610,25.26889636,87.07777418,0.41,,,,
2000,7936,Birbhum,2,Birbhum,0,NA,flood,2000-0610,23.95194467,87.6624877,0.41,,,,
2000,8035,Dumka,2,Dumka,0,NA,flood,2000-0610,24.31811548,87.26121361,0.41,,,,
2000,8477,Maldah,2,Malda,0,NA,flood,2000-0610,25.13513623,88.08873996,0.41,,,,
2000,8506,Munger,2,Munger,0,NA,flood,2000-0610,25.20892285,86.5265508,0.41,,,,
2000,8508,Murshidabad,2,Murshidabad,0,NA,flood,2000-0610,24.16171931,88.22615944,0.41,,,,
2000,8716,Sahibganj,2,Sahebganj,0,NA,flood,2000-0610,25.00783593,87.67479833,0.41,,,,
2000,8726,Sheikhpura,2,Sheikhpura,0,NA,flood,2000-0610,25.13228839,85.81502314,0.41,,,,
2000,7976,Cuddalore,2,Cuddalore coast,0,NA,storm,2000-0785,11.52490531,79.44715025,0.41,,,,
2000,8519,Nagappattinam,2,Sirkali,0,NA,storm,2000-0785,10.86120155,79.73576795,0.41,,,,
2000,8816,Thanjavur,2,Thanjavur,0,NA,storm,2000-0785,10.65639586,79.22342874,0.41,,,,
2000,8822,Thiruvallur,2,Tiruvallur,0,NA,storm,2000-0785,13.23421211,79.93380177,0.41,,,,
2000,8826,Thiruvarur,2,Tiruvarur,0,NA,storm,2000-0785,10.67184836,79.53370082,0.41,,,,
2000,8839,Tirunelveli,2,Papanasam,0,NA,storm,2000-0785,8.789788196,77.52245428,0.41,,,,
2000,8631,Prakasam,2,Prakasam,0,NA,flood,2000-0534,15.6113679,79.50950386,0.41,,,,
2000,41298,Delhi,3,Delhi province,0,NA,drought,2000-9222,28.64651897,77.10897953,0.41,,,,
2000,7763,Arunachal Pradesh,1,Arunachal Pradesh,0,NA,flood,2000-0332,28.03850114,94.67559092,0.41,,,,
2000,7786,Assam,1,Assam,0,NA,flood,2000-0332,26.35712666,92.82850571,0.41,,,,
2000,7764,Arunachal Pradesh,1,Arunachal Pradesh,0,NA,flood,2000-0445,28.03850114,94.67559092,0.41,,,,
2000,7787,Assam,1,Assam,0,NA,flood,2000-0445,26.35712666,92.82850571,0.41,,,,
2000,7904,Bihar,1,Bihar,0,NA,flood,2000-0445,25.67955598,85.60447908,0.41,,,,
2000,8155,Himachal Pradesh,1,Himachal Pradesh,0,NA,flood,2000-0445,31.92726931,77.23302517,0.41,,,,
2000,8650,Punjab,1,Punjab,0,NA,flood,2000-0445,30.8418287,75.40846841,0.41,,,,
2000,8013,Deoghar,2,Josidih,0,NA,flood,2000-0610,24.32656031,86.73476158,0.41,,,,
2000,7724,Andhra Pradesh,1,Andhra Pradesh,0,NA,flood,2000-0445,15.71260766,79.92713851,0.41,,,,
2000,8098,Gujarat,1,Gujarat,0,NA,flood,2000-0445,22.6903222,71.5884337,0.41,,,,
2000,8325,Kerala,1,Kerala,0,NA,flood,2000-0445,10.45089774,76.4057486,0.41,,,,
2000,8426,Madhya Pradesh,1,Madhya Pradesh,0,NA,flood,2000-0445,23.54151345,78.28963287,0.41,,,,
2000,8877,Uttar Pradesh,1,Uttar Pradesh,0,NA,flood,2000-0445,26.92542523,80.56098215,0.41,,,,
2000,8976,West Bengal,1,West Bengal,0,NA,flood,2000-0445,23.81595215,87.98089998,0.41,,,,
2000,7726,Andhra Pradesh,1,Andhra Pradesh,0,NA,storm,2000-0323,15.71260766,79.92713851,0.41,,,,
2000,7727,Andhra Pradesh,1,Andhra Pradesh,0,NA,storm,2000-0785,15.71260766,79.92713851,0.41,,,,
2000,30057,Arunachal Pradesh,1,Arunachal Pradesh,0,NA,flood,2000-0444,28.03900639,94.67669495,0.41,,,,
2000,41295,Madhya Pradesh,1, Madhya Prasdesh,0,NA,drought,2000-9222,23.54151345,78.28963287,0.41,,,,
2000,41296,Andhra Pradesh,1, Andhra Pradesh,0,NA,drought,2000-9222,15.71260766,79.92713851,0.41,,,,
2000,41299,Odisha,1, Orissa,0,NA,drought,2000-9222,20.50542802,84.41805896,0.41,,,,
2000,41300,Gujarat,1, Gujarat,0,NA,drought,2000-9222,22.6903222,71.5884337,0.41,,,,
2000,41301,Rajasthan,1, Rajasthan,0,NA,drought,2000-9222,26.58342294,73.84797344,0.41,,,,
2000,41302,Maharashtra,1, Maharashtra provinces,0,NA,drought,2000-9222,19.44975928,76.10822143,0.41,,,,
2001,7675,Alappuzha,2,Alapuzzha,0,NA,flood,2001-0387,9.413009259,76.44657618,0.55,,,,
2001,8176,Idukki,2,Idukki,0,NA,flood,2001-0387,9.874426633,77.01422266,0.55,,,,
2001,8367,Kollam,2,Kollam,0,NA,flood,2001-0387,8.954796002,76.86795887,0.55,,,,
2001,8373,Kottayam,2,Kottayam,0,NA,flood,2001-0387,9.629075883,76.64813828,0.55,,,,
2001,8621,Pathanamthitta,2,Pathanamthitta,0,NA,flood,2001-0387,9.277143652,76.91429626,0.55,,,,
2001,7755,Anugul,2,Angul district,0,NA,flood,2001-0332,20.98189206,84.90308876,0.55,,,,
2001,7985,Cuttack,2,Cuttack district,0,NA,flood,2001-0332,20.44239318,85.6982686,0.55,,,,
2001,8194,Jajapur,2,Jajpur district,0,NA,flood,2001-0332,20.8497324,86.14624701,0.55,,,,
2001,8306,Kendrapara,2,Mahakalpada,0,NA,flood,2001-0332,20.54637395,86.60225642,0.55,,,,
2001,8350,Khordha,2,Khorda district,0,NA,flood,2001-0332,20.08247851,85.50483769,0.55,,,,
2001,8076,Gopalganj,2,Gopalganj,0,NA,flood,2001-0515,26.44536723,84.36768755,0.55,,,,
2001,8509,Muzaffarpur,2,Muzaffarpur,0,NA,flood,2001-0515,26.15305405,85.32182327,0.55,,,,
2001,8610,Pashchim Champaran,2,West Champaran,0,NA,flood,2001-0515,27.07909842,84.33738272,0.55,,,,
2001,8622,Patna,2,Waidhali,0,NA,flood,2001-0515,25.45569333,85.2158742,0.55,,,,
2001,8658,Purba Champaran,2,East Champaran,0,NA,flood,2001-0515,26.62084684,84.91682914,0.55,,,,
2001,8720,Saran,2,Saran,0,NA,flood,2001-0515,25.90678865,84.81556987,0.55,,,,
2001,8077,Gopalganj,2,Gopalganj,0,NA,flood,2001-0794,26.44536723,84.36768755,0.55,,,,
2001,8721,Saran,2,Saran,0,NA,flood,2001-0794,25.90678865,84.81556987,0.55,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
2001,8662,Puri,2,Astaranga,0,NA,flood,2001-0332,19.86576549,85.69842138,0,,,,
2001,30063,Saran,2,Saran,0,NA,flood,2001-0527,25.90619844,84.81697681,0.55,,,,
2001,30065,Gopalganj,2, Gopalganj,0,NA,flood,2001-0527,26.44506494,84.36829456,0.55,,,,
2001,30066,Madhubani,2, Madhubani districts ,0,NA,flood,2001-0527,26.40622353,86.21180273,0.55,,,,
2001,30067,Purba Champaran,2, East Champaran,0,NA,flood,2001-0527,26.62073285,84.9164057,0.55,,,,
2001,8062,Goa,1,Goa,0,NA,storm,2001-0729,15.35869276,74.05586262,#REF!,,,,
2001,7788,Assam,1,Assam state,0,NA,flood,2001-0243,26.35712666,92.82850571,0.55,,,,
2001,8846,Tripura,1,Tripura State,0,NA,flood,2001-0243,23.74764472,91.74347749,0.55,,,,
2001,7963,Chhattisgarh,1,Chhattisgarh,0,NA,flood,2001-0332,21.26458489,82.03531186,0.55,,,,
2001,8792,Tamil Nadu,1,Orissa state Chayyisgarh state,0,NA,flood,2001-0332,13.45798035,80.25398335,0.55,,,,
2001,8878,Uttar Pradesh,1,Uttar Pradesh,0,NA,storm,2001-0337,26.92542523,80.56098215,0.55,,,,
2001,8326,Kerala,1,Kerala,0,NA,storm,2001-0729,10.45089774,76.4057486,0.55,,,,
2001,8455,Maharashtra,1,Maharashstra,0,NA,storm,2001-0729,19.44975928,76.10822143,0.55,,,,
2001,8427,Madhya Pradesh,1,Madhya Pradesh state,0,NA,flood,2001-0332,23.54151345,78.28963287,0.55,,,,
2001,8249,Kachchh,2,Naliya,0,NA,storm,2001-0729,23.62539958,69.96716133,0.55,,,,
2001,30058,Maharashtra,1,Maharashtra,0,NA,flood,2001-0349,19.44975928,76.10822143,0.55,,,,
2001,30059,Kerala,1, Kerala,0,NA,flood,2001-0349,10.45089774,76.4057486,0.55,,,,
2001,30060,NCT Of Delhi,1,New Delhi,0,NA,flood,2001-0502,28.64651897,77.10897953,0.55,,,,
2001,30061,Bihar,1,Bihar state,0,NA,flood,2001-0465,25.67965826,85.6048398,0.55,,,,
2001,30064,Uttar Pradesh,1,Uttar Pradesh state,0,NA,flood,2001-0527,26.92542523,80.56098215,0.55,,,,
2001,30068,Andhra Pradesh,1,Andhra Pradesh,0,NA,storm,2001-0584,15.71260766,79.92713851,0.55,,,,
2002,7997,Darjiling,2,Darjeeling,0,NA,storm,2002-0308,26.91364047,88.39335093,#REF!,,,,
2002,8202,Jalpaiguri,2,Jalpaiguri,0,NA,storm,2002-0308,26.68693687,88.7647131,0.62,,,,
2002,8362,Kolkata,2,Calcutta,0,NA,storm,2002-0308,22.55199571,88.35157415,0.62,,,,
2002,8200,Jalgaon,2,Jalgaon district,0,NA,flood,2002-0568,20.93763583,75.49150547,0.62,,,,
2002,8539,Nashik,2,Nasik district,0,NA,flood,2002-0568,20.26020129,74.07947908,0.62,,,,
2002,8267,Kannur,2,Kannur,0,NA,flood,2002-0650,11.99266954,75.53605911,0.62,,,,
2002,8300,Kasaragod,2,Kasaragod,0,NA,flood,2002-0650,12.46079963,75.15172852,0.62,,,,
2002,8374,Kozhikode,2,Kozhikode,0,NA,flood,2002-0650,11.47972527,75.83239926,0.62,,,,
2002,8825,Thiruvananthapuram,2,Malappuram and Thiruvananthapuram,0,NA,flood,2002-0650,8.606194774,77.00426455,0.62,,,,
2002,8058,Ganjam,2,Gobalpur,0,NA,storm,2002-0308,19.62190014,84.65996467,0.62,,,,
2002,7765,Arunachal Pradesh,1,Arunachal Pradesh,0,NA,flood,2002-0374,28.03850114,94.67559092,0.62,,,,
2002,7789,Assam,1,Assam,0,NA,flood,2002-0374,26.35712666,92.82850571,0.62,,,,
2002,7908,Bihar,1,Bihar,0,NA,flood,2002-0374,25.67955598,85.60447908,0.62,,,,
2002,8156,Himachal Pradesh,1,Himachal Pradesh,0,NA,flood,2002-0374,31.92726931,77.23302517,0.62,,,,
2002,8491,Meghalaya,1,Meghalaya,0,NA,flood,2002-0374,25.5367155,91.28008112,0.62,,,,
2002,8847,Tripura,1,Tripura,0,NA,flood,2002-0374,23.74764472,91.74347749,0.62,,,,
2002,7790,Assam,1,Assam,0,NA,flood,2002-0490,26.35712666,92.82850571,0.62,,,,
2002,7909,Bihar,1,Bihar,0,NA,flood,2002-0490,25.67955598,85.60447908,0.62,,,,
2002,8481,Manipur,1,Manipur,0,NA,flood,2002-0490,24.73927565,93.88226661,0.62,,,,
2002,8808,Tehri,3,Tehri district,0,NA,flood,2002-0490,30.46064407,78.23402875,0.62,,,,
2002,7826,Balaghat,2,Balaghat,0,NA,flood,2002-0539,21.88121765,80.35433447,0.62,,,,
2002,7884,Bharuch,2,Bharuch,0,NA,flood,2002-0568,21.78666651,72.92475605,0.62,,,,
2002,8351,Khordha,2,Sadarpada,0,NA,flood,2002-0568,20.08247851,85.50483769,0.62,,,,
2002,8793,Tamil Nadu,1,Tamil Nadu,0,NA,flood,2002-0729,13.45798035,80.25398335,0.62,,,,
2002,8978,West Bengal,1,West Bengal,0,NA,storm,2002-0204,23.81595215,87.98089998,0.62,,,,
2002,8582,Odisha,1,Orissa,0,NA,storm,2002-0216,20.50542802,84.41805896,0.62,,,,
2002,8100,Gujarat,1,Gujarat,0,NA,flood,2002-0374,22.6903222,71.5884337,0.62,,,,
2002,8328,Kerala,1,Kerala,0,NA,flood,2002-0374,10.45089774,76.4057486,0.62,,,,
2002,8428,Madhya Pradesh,1,Madhya Pradesh,0,NA,flood,2002-0374,23.54151345,78.28963287,0.62,,,,
2002,8456,Maharashtra,1,Maharashrta,0,NA,flood,2002-0374,19.44975928,76.10822143,0.62,,,,
2002,41303,Chhattisgarh,1, Chhattisgarh,0,NA,drought,2002-9349,21.26470475,82.03536606,#REF!,,,,
